OrderDetailID,OrderID,ProductID,Quantity,Discount,UnitPrice
1,1,22,9,0.00,18031.34
2,1,16,5,0.10,47917.37
3,2,13,6,0.05,48209.16
4,2,22,9,0.05,18031.34
5,2,21,2,0.00,50541.59
6,3,1,12,0.15,34621.30
7,3,3,1,0.00,21346.77
8,4,22,9,0.00,18031.34
9,4,16,12,0.10,47917.37
10,4,7,10,0.05,37511.50
11,5,22,7,0.00,18031.34
12,6,2,7,0.15,23392.15
13,7,5,8,0.00,14052.35
14,7,14,2,0.05,53462.28
15,7,6,9,0.00,47384.65
16,7,9,1,0.15,41373.02
17,8,14,8,0.00,53462.28
18,8,16,7,0.00,47917.37
19,9,10,9,0.15,18907.60
20,9,14,12,0.05,53462.28
21,9,23,3,0.00,6419.16
22,9,24,5,0.00,48366.09
23,10,2,10,0.05,23392.15
24,11,3,2,0.15,21346.77
25,11,20,4,0.05,29804.03
26,12,14,11,0.10,53462.28
27,13,8,3,0.15,37589.56
28,13,9,11,0.00,41373.02
29,13,13,8,0.00,48209.16
30,14,18,4,0.10,33610.67
31,15,10,9,0.15,18907.60
32,15,6,5,0.10,47384.65
33,15,15,11,0.10,28070.19
34,16,9,2,0.15,41373.02
35,16,4,9,0.00,54787.84
36,17,22,5,0.10,18031.34
37,17,21,8,0.00,50541.59
38,18,1,6,0.20,34621.30
39,19,18,12,0.00,33610.67
40,19,1,9,0.00,34621.30
41,19,4,6,0.10,54787.84
42,19,3,9,0.00,21346.77
43,20,12,4,0.15,477.52
44,21,8,3,0.05,37589.56
45,21,6,1,0.00,47384.65
46,22,13,1,0.20,48209.16
47,23,10,4,0.00,18907.60
48,23,26,11,0.00,48327.13
49,23,8,7,0.00,37589.56
50,24,1,3,0.10,34621.30
51,24,4,5,0.00,54787.84
52,24,9,2,0.10,41373.02
53,25,19,12,0.05,20753.09
54,25,7,1,0.10,37511.50
55,25,9,9,0.15,41373.02
56,25,2,12,0.15,23392.15
57,26,22,5,0.10,18031.34
58,26,4,5,0.15,54787.84
59,26,24,7,0.00,48366.09
60,27,22,10,0.00,18031.34
61,27,24,7,0.10,48366.09
62,27,6,1,0.00,47384.65
63,27,20,5,0.00,29804.03
64,28,22,12,0.00,18031.34
65,28,7,11,0.00,37511.50
66,28,17,5,0.10,46339.31
67,28,16,11,0.15,47917.37
68,29,8,3,0.00,37589.56
69,29,26,1,0.00,48327.13
70,29,7,8,0.10,37511.50
71,30,16,11,0.15,47917.37
72,30,13,1,0.20,48209.16
73,30,8,2,0.20,37589.56
74,30,5,7,0.00,14052.35
75,31,15,3,0.20,28070.19
76,32,18,8,0.05,33610.67
77,32,15,5,0.20,28070.19
78,32,6,4,0.20,47384.65
79,32,24,11,0.00,48366.09
80,33,23,5,0.00,6419.16
81,34,5,7,0.15,14052.35
82,34,8,3,0.15,37589.56
83,35,14,10,0.15,53462.28
84,35,2,1,0.20,23392.15
85,35,7,10,0.05,37511.50
86,35,13,8,0.00,48209.16
87,36,16,5,0.05,47917.37
88,36,8,8,0.00,37589.56
89,37,5,7,0.10,14052.35
90,37,20,10,0.15,29804.03
91,37,18,1,0.00,33610.67
92,37,1,11,0.05,34621.30
93,38,11,7,0.00,24081.66
94,38,7,7,0.00,37511.50
95,38,15,2,0.05,28070.19
96,38,25,1,0.15,13398.04
97,39,25,1,0.00,13398.04
98,40,22,8,0.15,18031.34
99,40,4,5,0.20,54787.84
100,40,19,6,0.00,20753.09
101,40,7,10,0.10,37511.50
102,41,19,7,0.15,20753.09
103,41,22,4,0.00,18031.34
104,41,13,10,0.15,48209.16
105,42,12,9,0.05,477.52
106,43,14,8,0.00,53462.28
107,44,6,5,0.10,47384.65
