OrderID,CustomerID,EmployeeID,OrderDate,ShipDate,ShipMode,Region
1,6,8,2023-05-22,2023-05-29,"Second Class",North
2,39,7,2024-03-09,2024-03-14,"Second Class",North
3,15,2,2024-11-23,2024-11-24,"Second Class",North
4,5,1,2024-11-07,2024-11-08,"Second Class",East
5,16,8,2025-04-13,2025-04-15,"Standard Class",East
6,28,7,2025-08-14,2025-08-21,"Standard Class",East
7,22,2,2024-05-24,2024-05-26,"Second Class",South
8,35,1,2023-07-11,2023-07-18,"Second Class",Central
9,11,7,2023-01-05,2023-01-09,"First Class",Central
10,4,10,2023-05-05,2023-05-11,"First Class",North
11,33,9,2023-11-19,2023-11-20,"Standard Class",South
12,8,10,2024-05-19,2024-05-24,"Standard Class",West
13,37,9,2024-10-09,2024-10-12,"Second Class",East
14,5,1,2025-07-27,2025-08-01,"Standard Class",East
15,17,3,2024-12-15,2024-12-16,"Second Class",East
16,1,9,2024-09-05,2024-09-11,"Standard Class",South
17,18,5,2024-03-07,2024-03-13,"First Class",East
18,4,2,2025-05-17,2025-05-24,"First Class",North
19,9,5,2023-11-27,2023-12-03,"Same Day",Central
20,28,3,2023-03-27,2023-03-30,"First Class",East
21,16,2,2024-12-25,2025-01-01,"Same Day",East
22,22,7,2024-05-23,2024-05-26,"Second Class",South
23,31,4,2024-02-13,2024-02-20,"Same Day",West
24,18,2,2024-07-25,2024-07-28,"Same Day",East
25,28,6,2024-10-04,2024-10-08,"Standard Class",East
26,13,6,2025-06-02,2025-06-03,"First Class",South
27,26,5,2023-09-18,2023-09-20,"Same Day",South
28,28,10,2024-10-21,2024-10-25,"Same Day",East
29,40,6,2023-07-11,2023-07-18,"Second Class",North
30,5,8,2025-04-28,2025-05-04,"Second Class",East
31,12,9,2025-08-09,2025-08-10,"Second Class",North
32,30,9,2024-10-11,2024-10-18,"Same Day",South
33,34,8,2024-05-04,2024-05-07,"Same Day",Central
34,18,6,2024-10-16,2024-10-21,"Standard Class",East
35,14,2,2025-04-29,2025-05-03,"First Class",North
36,23,5,2025-03-09,2025-03-16,"Same Day",West
37,25,6,2025-04-08,2025-04-14,"Second Class",East
38,9,8,2024-01-08,2024-01-09,"First Class",Central
39,35,1,2024-12-17,2024-12-19,"Standard Class",Central
40,13,1,2023-11-09,2023-11-11,"Second Class",South
41,8,3,2024-09-29,2024-09-30,"Standard Class",West
42,16,2,2024-09-09,2024-09-16,"Standard Class",East
43,24,2,2025-11-02,2025-11-08,"First Class",Central
44,28,6,2025-07-30,2025-08-05,"Second Class",East
45,38,5,2024-10-22,2024-10-29,"Second Class",South
46,30,10,2025-02-15,2025-02-18,"Standard Class",South
47,36,1,2025-11-24,2025-11-26,"Standard Class",Central
48,31,8,2025-07-06,2025-07-13,"Standard Class",West
49,16,5,2025-01-25,2025-01-29,"First Class",East
50,13,6,2023-09-02,2023-09-08,"Second Class",South
51,34,10,2024-08-02,2024-08-03,"Second Class",Central
52,3,1,2024-08-21,2024-08-27,"Second Class",North
53,31,2,2023-05-14,2023-05-18,"Same Day",West
54,4,3,2023-11-02,2023-11-09,"First Class",North
55,27,10,2024-04-07,2024-04-14,"Same Day",East
56,14,4,2024-06-25,2024-07-01,"Standard Class",North
57,27,8,2025-08-20,2025-08-23,"Standard Class",East
58,15,5,2024-02-10,2024-02-14,"Standard Class",North
59,4,3,2024-09-21,2024-09-26,"First Class",North
60,39,1,2025-06-03,2025-06-09,"First Class",North
61,18,10,2023-03-24,2023-03-31,"Second Class",East
62,27,6,2024-10-19,2024-10-25,"Standard Class",East
63,26,9,2023-03-17,2023-03-21,"Standard Class",South
64,35,8,2025-04-26,2025-04-27,"Second Class",Central
65,9,5,2025-06-16,2025-06-22,"Same Day",Central
66,16,3,2024-09-28,2024-10-03,"Standard Class",East
67,18,7,2025-09-15,2025-09-19,"Second Class",East
68,33,5,2023-01-06,2023-01-09,"First Class",South
69,13,4,2025-02-23,2025-02-25,"Same Day",South
70,25,7,2023-11-08,2023-11-12,"Standard Class",East
71,29,2,2025-12-13,2025-12-17,"Standard Class",South
72,17,6,2025-03-25,2025-03-31,"Standard Class",East
73,35,1,2023-05-21,2023-05-23,"First Class",Central
74,7,8,2023-12-07,2023-12-13,"First Class",Central
75,4,5,2025-01-04,2025-01-07,"Same Day",North
76,12,3,2023-12-25,2023-12-26,"Same Day",North
77,17,8,2024-06-06,2024-06-12,"Standard Class",East
78,17,8,2024-09-10,2024-09-12,"Same Day",East
79,18,1,2023-04-11,2023-04-16,"Same Day",East
80,40,5,2023-10-08,2023-10-14,"Standard Class",North
81,38,6,2023-09-27,2023-09-28,"First Class",South
82,18,3,2024-06-10,2024-06-17,"Same Day",East
83,26,9,2025-01-19,2025-01-20,"Same Day",South
84,30,6,2024-06-20,2024-06-25,"Same Day",South
85,15,2,2025-08-08,2025-08-14,"First Class",North
86,24,9,2025-05-08,2025-05-13,"Second Class",Central
